reference_number,road,traffic_management
998294,M1,Lane Closure
1110375,M1,Carriageway Closure
1145501,M1,Lane Closure
1352375,M1,Lane Closure
1535390,M1,Lane Closure
1619975,M1,None
1620018,M1,None
1685155,M1,Lane Closure
1824550,M1,Lane Closure
1824563,M1,Lane Closure
1892489,M1,Lane Closure
2225807,M1,Lane Closure
2225811,M1,Lane Closure
2227098,M1,Carriageway Closure
2288750,M1,Lane Closure
2288752,M1,Lane Closure
2288764,M1,Lane Closure
2288769,M1,Lane Closure
2289030,M1,Lane Closure
2289036,M1,Lane Closure
2289064,M1,Lane Closure
2289069,M1,Lane Closure
2299202,M1,Carriageway Closure
2299708,M1,Carriageway Closure
2306968,M1,Carriageway Closure
2318783,M1,Carriageway Closure
2391312,M1,Lane Closure
2398237,M1,Lane Closure
2415770,M1,Carriageway Closure
2418669,M1,Carriageway Closure
2419072,M1,Carriageway Closure
2426148,M1,Carriageway Closure
2489152,M1,Carriageway Closure
2500240,M1,Lane Closure
2545266,M1,Lane Closure
2562528,M1,Lane Closure
2563983,M1,Carriageway Closure
2563997,M1,Carriageway Closure
2564103,M1,Lane Closure
2528534,M2,Lane Closure
2529542,M2,Lane Closure
2048707,M3,Other
2240295,M3,Lane Closure
2301299,M3,None
2344174,M3,Lane Closure
2344177,M3,Lane Closure
2427937,M3,Mobile Lane Closure
2430048,M3,Lane Closure
2430055,M3,Lane Closure
2472329,M3,Lane Closure
2472391,M3,Speed Restriction
2472430,M3,Lane Closure
2472514,M3,Lane Closure
2472516,M3,Lane Closure
2472519,M3,Lane Closure
2472529,M3,Lane Closure
2472532,M3,Lane Closure
2472539,M3,Lane Closure
2472541,M3,Lane Closure
2499541,M3,Carriageway Closure
2499645,M3,Lane Closure
2512405,M3,Lane Closure
2512424,M3,Lane Closure
2520900,M3,Lane Closure
2547765,M3,Lane Closure
2549779,M3,Carriageway Closure
2551472,M3,Lane Closure
2555712,M3,Lane Closure
2555717,M3,Lane Closure
2565246,M3,Lane Closure
2569589,M3,Lane Closure
1821162,M4,Lane Closure
1847462,M4,Width Restriction
1955012,M4,Lane Closure
1955043,M4,Lane Closure
2361548,M4,Width Restriction
2409247,M4,Width Restriction
2474721,M4,Carriageway Closure
2505114,M4,Lane Closure
2505136,M4,Lane Closure
2505148,M4,Lane Closure
2511425,M4,Lane Closure
2512264,M4,Lane Closure
2572315,M4,Lane Closure
2578129,M4,Lane Closure
2578131,M4,Lane Closure
1856186,M5,Width Restriction
2074645,M5,Width Restriction
2187753,M5,Lane Closure
2193924,M5,Lane Closure
2271299,M5,Carriageway Closure
2434252,M5,Lane Closure
2437468,M5,Lane Closure
2437490,M5,Lane Closure
2553250,M5,Lane Closure
2554336,M5,Mobile Lane Closure
2565926,M5,Mobile Lane Closure
2576310,M5,Carriageway Closure
2579829,M5,Lane Closure
999850,M6,Lane Closure
1111894,M6,Carriageway Closure
1594514,M6,Lane Closure
1725154,M6,Lane Closure
1804289,M6,Lane Closure
2019562,M6,Lane Closure
2061844,M6,Lane Closure
2061932,M6,Lane Closure
2063764,M6,Lane Closure
2221320,M6,Contraflow
2257780,M6,Lane Closure
2344102,M6,Lane Closure
2471157,M6,Carriageway Closure
2477693,M6,Carriageway Closure
2478718,M6,Carriageway Closure
2512518,M6,Lane Closure
2520459,M6,Carriageway Closure
2536138,M6,Mobile Lane Closure
2559287,M6,Lane Closure
2572474,M6,Lane Closure
2574789,M6,Lane Closure
2577846,M6,Lane Closure
2579247,M6,Lane Closure
2105941,M11,Lane Closure
2112015,M11,Lane Closure
2112192,M11,Lane Closure
2317536,M11,Lane Closure
2437704,M11,Lane Closure
2536099,M11,Carriageway Closure
2536154,M11,Carriageway Closure
2536199,M11,Carriageway Closure
2536235,M11,Carriageway Closure
2536314,M11,Carriageway Closure
2536324,M11,Carriageway Closure
2536404,M11,Carriageway Closure
2536409,M11,Carriageway Closure
2536414,M11,Carriageway Closure
2536423,M11,Carriageway Closure
2536429,M11,Carriageway Closure
2537518,M11,Carriageway Closure
2539939,M11,Carriageway Closure
2562638,M11,Carriageway Closure
2562647,M11,Carriageway Closure
2510455,M18,Lane Closure
2578039,M18,Mobile Lane Closure
2338082,M20,Carriageway Closure
2529722,M20,Lane Closure
783303,M23,Lane Closure
1168176,M25,Lane Closure
1940469,M25,Width Restriction
2115236,M25,Width Restriction
2477921,M25,Carriageway Closure
2488135,M25,Lane Closure
2497481,M25,Carriageway Closure
2497526,M25,Lane Closure
2497559,M25,Lane Closure
2497589,M25,Carriageway Closure
2500883,M25,Lane Closure
2525563,M25,Carriageway Closure
2526637,M25,Carriageway Closure
2536183,M25,Carriageway Closure
2537466,M25,Lane Closure
2539950,M25,Carriageway Closure
2541704,M25,Lane Closure
2542671,M25,Lane Closure
2543942,M25,Lane Closure
2544006,M25,Lane Closure
2544221,M25,Carriageway Closure
2545779,M25,Lane Closure
2549746,M25,Lane Closure
2549751,M25,Lane Closure
2549758,M25,Lane Closure
2549761,M25,Lane Closure
2549769,M25,Lane Closure
2549772,M25,Lane Closure
2549777,M25,Lane Closure
2549807,M25,Lane Closure
2549813,M25,Lane Closure
2549970,M25,Carriageway Closure
2571068,M25,Lane Closure
2573342,M25,Lane Closure
2573364,M25,Lane Closure
2573370,M25,Lane Closure
2573503,M25,Lane Closure
2573604,M25,Lane Closure
2575024,M25,Lane Closure
2575233,M25,Lane Closure
2575432,M25,Lane Closure
2575465,M25,Lane Closure
2576798,M25,Lane Closure
2576808,M25,Lane Closure
2577946,M25,Lane Closure
2577958,M25,Lane Closure
2578124,M25,Lane Closure
2579380,M25,Carriageway Closure
2575063,M26,Lane Closure
2008596,M27,Width Restriction
2033302,M27,Width Restriction
2333817,M27,Lane Closure
2333834,M27,Lane Closure
2350127,M27,Lane Closure
2402436,M27,Width Restriction
2427980,M27,Mobile Lane Closure
2450729,M27,Lane Closure
2463525,M27,Carriageway Closure
2463556,M27,Carriageway Closure
2466500,M27,Other
2466520,M27,Lane Closure
2499548,M27,Carriageway Closure
2499553,M27,Carriageway Closure
2499558,M27,Carriageway Closure
2499561,M27,Carriageway Closure
2499567,M27,Carriageway Closure
2499576,M27,Lane Closure
2499590,M27,Lane Closure
2499654,M27,Lane Closure
2499667,M27,Lane Closure
2539424,M27,Carriageway Closure
2557145,M27,Mobile Lane Closure
2572024,M27,Lane Closure
2354631,M40,Lane Closure
2354658,M40,Lane Closure
2446138,M40,Width Restriction
2446158,M40,Width Restriction
2469785,M40,Mobile Lane Closure
2525215,M40,Lane Closure
2525225,M40,Lane Closure
2552367,M40,Lane Closure
2553976,M40,Lane Closure
2545393,M42,Lane Closure
2478029,M45,Lane Closure
2097333,M50,Contraflow
2063779,M53,Lane Closure
2023206,M54,Lane Closure
2501947,M55,Lane Closure
2501957,M55,Lane Closure
630846,M56,Carriageway Closure
2336281,M56,Lane Closure
2337702,M56,Lane Closure
2493294,M56,Carriageway Closure
2493300,M56,Carriageway Closure
2493312,M56,Carriageway Closure
2509415,M56,Lane Closure
2574703,M56,Lane Closure
2061976,M57,Lane Closure
2502110,M57,Carriageway Closure
2503507,M57,Carriageway Closure
2503525,M57,Carriageway Closure
2503532,M57,Carriageway Closure
2503544,M57,Carriageway Closure
2503582,M57,Carriageway Closure
2503598,M57,Carriageway Closure
2503685,M58,Carriageway Closure
1600938,M60,Lane Closure
2063775,M60,Lane Closure
2063881,M60,Lane Closure
2336179,M60,Carriageway Closure
2336317,M60,Carriageway Closure
2336348,M60,Carriageway Closure
2339309,M60,Lane Closure
2339350,M60,Lane Closure
2339404,M60,Lane Closure
2339418,M60,Lane Closure
2339453,M60,Lane Closure
2339458,M60,Lane Closure
2419204,M60,Lane Closure
2461770,M60,Lane Closure
2467571,M60,Carriageway Closure
2483349,M60,Lane Closure
2497523,M60,Carriageway Closure
2550443,M60,Lane Closure
2579114,M60,None
